V M M M M M M M M M M M M M M M M M M U V M M M M M M U
B W W W W W W W W W W W W W W W W W W X B W W W W W W X
1 Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y Y 2 1 Y Y Y Y Y Y 2
F F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
F F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
F F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F F F F F F F F F R
L F F F F F F F F F F F F F F F F F F F F F F F F F F R
L F F F F F F F F F F F F F F F F F F F F F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
L F F F F F F F F F F F F F F F F F F R L F F F F F F R
v m m m m m m m m m m m m m m m m m m u v m m m m m m u
